TIME,2014,,2015,,2016,,2017,,2018,,2019,,2020,,2021,
Thessalia,"14,200",,"14,500",,"14,300",,"14,700",,"15,100",,"15,700",p,"14,700",p,"16,000",p
Ionia Nisia,"17,800",,"17,600",,"17,400",,"17,800",,"18,500",,"19,300",p,"15,500",p,"18,400",p
Dytiki Ellada,"14,000",,"14,100",,"13,900",,"14,100",,"14,500",,"14,900",p,"14,000",p,"15,400",p
Sterea Ellada,"16,700",,"17,000",,"17,300",,"17,900",,"18,200",,"18,600",p,"18,400",p,"21,200",p
Peloponnisos,"15,700",,"16,200",,"16,100",,"16,700",,"16,800",,"17,500",p,"16,200",p,"18,000",p
Galicia,"21,400",,"22,500",,"23,200",,"24,300",,"24,800",,"25,600",,"22,900",p,"24,900",p
Principado de Asturias,"21,200",,"22,200",,"22,600",,"23,900",,"24,300",,"25,000",,"22,100",p,"24,600",p
Cantabria,"22,300",,"22,900",,"23,700",,"24,800",,"25,400",,"26,200",,"23,200",p,"25,100",p
País Vasco,"31,300",,"32,500",,"33,500",,"35,000",,"35,500",,"36,500",,"32,000",p,"34,900",p
Comunidad Foral de Navarra,"29,800",,"30,900",,"31,700",,"33,200",,"33,300",,"34,400",,"30,400",p,"32,900",p
La Rioja,"26,500",,"27,500",,"27,700",,"28,900",,"29,500",,"30,200",,"27,100",p,"28,900",p
Aragón,"26,300",,"26,900",,"28,100",,"29,500",,"30,100",,"30,900",,"28,100",p,"30,600",p
Comunidad de Madrid,"33,000",,"34,500",,"35,600",,"37,300",,"37,700",,"39,000",,"34,100",p,"36,900",p
Castilla y León,"22,500",,"23,400",,"24,200",,"25,200",,"26,100",,"26,800",,"24,200",p,"25,900",p
Castilla-la Mancha,"18,500",,"19,600",,"20,300",,"21,400",,"21,900",,"22,400",,"20,300",p,"21,900",p
Extremadura,"16,900",,"17,800",,"18,500",,"19,800",,"20,200",,"20,700",,"18,800",p,"20,200",p
Cataluña,"28,600",,"29,900",,"31,000",,"32,400",,"32,700",,"33,700",,"29,300",p,"31,700",p
Comunitat Valenciana,"21,100",,"22,000",,"22,600",,"23,800",,"24,200",,"24,900",,"21,900",p,"23,600",p
Illes Balears,"25,900",,"27,100",,"28,200",,"29,500",,"29,900",,"30,500",,"22,700",p,"26,300",p
Andalucía,"17,800",,"18,700",,"19,100",,"20,100",,"20,500",,"21,000",,"18,500",p,"20,000",p
Región de Murcia,"19,800",,"21,100",,"21,600",,"22,600",,"22,600",,"23,300",,"20,800",p,"22,500",p
Ciudad de Ceuta,"19,800",,"20,500",,"20,900",,"21,300",,"21,800",,"22,600",,"20,900",p,"22,500",p
Ciudad de Melilla,"18,100",,"18,700",,"19,200",,"19,500",,"20,000",,"20,700",,"19,000",p,"20,400",p
Canarias,"20,100",,"20,600",,"21,200",,"22,300",,"22,500",,"22,900",,"18,100",p,"20,100",p
Extra-Regio NUTS 2,:,,:,,:,,:,,:,,:,,:,,:,
Île de France,"48,100",,"49,200",,"50,200",,"51,400",,"53,200",,"56,700",,"52,300",e,"56,900",p
Centre - Val de Loire,"23,900",,"24,400",,"24,500",,"25,100",,"25,700",,"27,000",,"25,900",e,"27,900",p
Bourgogne,"24,100",,"24,300",,"24,100",,"25,200",,"26,000",,"27,000",,"26,100",e,"27,900",p
Franche-Comté,"21,700",,"22,200",,"22,700",,"23,100",,"23,300",,"24,700",,"23,900",e,"25,300",p
Basse-Normandie,"22,900",,"23,300",,"23,600",,"23,600",,"24,300",,"25,600",,"24,500",e,"26,200",p
Haute-Normandie,"25,400",,"25,900",,"25,600",,"26,000",,"26,400",,"27,500",,"26,000",e,"28,400",p
Nord-Pas-de-Calais,"23,300",,"23,800",,"24,100",,"24,800",,"25,500",,"26,700",,"25,700",e,"27,600",p
Picardie,"21,600",,"22,300",,"22,000",,"22,800",,"23,100",,"24,300",,"23,200",e,"24,700",p
Alsace,"26,700",,"27,000",,"27,500",,"28,200",,"29,100",,"30,400",,"28,700",e,"30,700",p
Champagne-Ardenne,"24,500",,"24,700",,"24,500",,"25,600",,"26,400",,"27,400",,"26,000",e,"27,900",p
Lorraine,"21,600",,"21,900",,"21,900",,"22,500",,"23,000",,"23,900",,"23,000",e,"24,600",p
Pays-de-la-Loire,"25,400",,"26,000",,"26,300",,"27,000",,"27,700",,"29,300",,"28,200",e,"30,100",p
Bretagne,"24,000",,"24,600",,"25,000",,"25,900",,"26,300",,"27,800",,"27,200",e,"29,200",p
Aquitaine,"25,200",,"25,700",,"26,200",,"26,700",,"27,500",,"28,900",,"27,400",e,"29,900",p
Limousin,"21,600",,"22,100",,"21,900",,"22,600",,"23,000",,"24,700",,"23,900",e,"25,000",p
Poitou-Charentes,"23,400",,"23,700",,"23,800",,"24,400",,"25,200",,"26,600",,"25,600",e,"27,500",p
Languedoc-Roussillon,"21,700",,"22,000",,"22,300",,"22,700",,"23,300",,"24,500",,"23,700",e,"25,600",p
Midi-Pyrénées,"26,100",,"26,700",,"27,200",,"27,700",,"28,700",,"29,900",,"27,700",e,"29,300",p
Auvergne,"22,800",,"23,300",,"23,500",,"24,700",,"25,300",,"26,700",,"25,700",e,"27,100",p
Rhône-Alpes,"28,600",,"29,100",,"29,700",,"30,500",,"31,600",,"33,200",,"31,600",e,"33,900",p
Provence-Alpes-Côte d'Azur,"27,000",,"27,500",,"27,800",,"28,500",,"29,200",,"30,700",,"29,200",e,"32,300",p
Corse,"22,700",,"23,300",,"23,300",,"23,900",,"24,700",,"25,800",,"24,100",e,"26,700",p
Guadeloupe,"20,000",,"20,600",,"21,100",,"19,700",,"20,400",,"21,700",,"20,400",e,"21,100",p
Martinique,"19,700",,"20,300",,"20,500",,"21,100",,"21,700",,"22,400",,"22,400",e,"23,500",p
Guyane,"13,700",,"13,400",,"13,600",,"13,500",,"13,900",,"14,300",,"14,100",e,"14,300",p
La Réunion,"17,800",,"18,300",,"18,800",,"19,300",,"19,600",,"20,500",,"20,100",e,"21,500",p
Mayotte,"7,200",,"7,800",,"8,000",,"8,400",,"8,300",,"8,700",,"8,700",e,"9,100",p
Extra-Regio NUTS 2,:,,:,,:,,:,,:,,:,,:,,:,
Panonska Hrvatska,"10,700",,"11,000",,"11,400",,"11,800",,"12,200",,"13,000",,"12,600",,"14,400",p
Jadranska Hrvatska,"15,500",,"16,300",,"17,100",,"18,400",,"19,200",,"20,200",,"17,700",,"21,000",p
Grad Zagreb,"28,900",,"30,800",,"32,100",,"34,300",,"36,200",,"38,800",,"36,700",,"42,400",p
Sjeverna Hrvatska,"12,200",,"12,800",,"13,500",,"14,400",,"15,300",,"16,400",,"16,100",,"18,300",p
Piemonte,"27,300",,"28,100",,"29,500",,"30,700",,"31,500",,"32,000",,"29,800",,"32,600",
Valle d'Aosta/Vallée d'Aoste,"35,100",,"35,500",,"36,000",,"37,600",,"38,100",,"39,000",,"36,100",,"39,200",
Liguria,"28,700",,"29,400",,"30,700",,"31,600",,"31,900",,"32,900",,"30,100",,"32,800",
Lombardia,"34,600",,"35,400",,"37,100",,"38,200",,"39,200",,"39,900",,"37,700",,"41,400",
Provincia Autonoma di Bolzano/Bozen,"41,500",,"42,400",,"43,900",,"45,400",,"47,100",,"48,700",,"45,300",,"49,100",
Provincia Autonoma di Trento,"34,900",,"34,900",,"36,100",,"36,900",,"38,300",,"39,600",,"37,500",,"40,800",
Veneto,"29,200",,"30,000",,"31,600",,"32,600",,"33,200",,"34,200",,"31,600",,"34,500",
Friuli-Venezia Giulia,"27,800",,"28,800",,"29,800",,"30,700",,"31,600",,"32,700",,"30,800",,"33,400",
Emilia-Romagna,"31,900",,"32,600",,"34,200",,"35,300",,"36,000",,"36,600",,"34,500",,"37,700",
Toscana,"28,200",,"28,600",,"29,900",,"30,700",,"31,500",,"33,100",,"29,500",,"31,900",
Umbria,"22,900",,"23,800",,"24,400",,"25,200",,"26,100",,"26,600",,"24,700",,"27,100",
Marche,"24,800",,"25,200",,"26,200",,"27,000",,"27,600",,"28,400",,"26,600",,"29,200",
Lazio,"31,300",,"31,400",,"33,200",,"33,800",,"34,400",,"35,200",,"32,700",,"35,300",
Abruzzo,"23,100",,"23,400",,"24,100",,"24,900",,"25,200",,"25,700",,"24,000",,"26,300",
Molise,"18,700",,"19,200",,"19,800",,"20,500",,"21,000",,"21,900",,"20,800",,"22,500",
Campania,"16,900",,"17,400",,"18,100",,"18,600",,"18,900",,"19,500",,"18,300",,"20,100",
Puglia,"16,900",,"17,400",,"18,100",,"18,600",,"19,100",,"19,600",,"18,600",,"20,300",
Basilicata,"19,200",,"21,100",,"21,500",,"21,900",,"23,200",,"23,300",,"21,400",,"24,500",
Calabria,"15,800",,"16,100",,"16,700",,"17,200",,"17,300",,"17,700",,"16,700",,"18,100",
