Country Name,Country Code,Indicator Name,Indicator Code,2014,2015,2016,2017,2018,2019,2020,2021
Sri Lanka,LKA,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,11706.82083,12208.01199,13056.64225,13584.19311,14081.61687,14214.65121,13812.95748,14706.54132
Lower middle income,LMC,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,6196.659785,6291.358953,6555.49687,6842.90534,7258.592709,7566.15411,7310.420509,7955.079428
Low & middle income,LMY,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,9135.774617,9193.62093,9489.524708,9931.949816,10544.7437,11000.07306,10806.11044,11846.7248
Lesotho,LSO,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,2734.859882,2990.952647,2894.83384,2571.694113,2602.168342,2640.02831,2417.728659,2521.530663
Late-demographic dividend,LTE,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,14722.35499,14748.71103,15206.73424,16040.75403,17284.36163,18334.68211,18471.62144,20456.86868
Lithuania,LTU,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,28184.47233,28834.42768,30925.17085,33761.87124,36376.18982,39911.46361,39916.77921,43195.93726
Luxembourg,LUX,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,105296.2846,107859.686,113365.1761,114985.8422,116965.5861,120175.3259,118973.0565,133363.6667
Latvia,LVA,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,23815.80006,24972.78609,26721.7262,28673.5634,30877.04193,32894.0684,32106.09665,34266.66467
"Macao SAR, China",MAC,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,149325.1718,113813.739,112351.2772,122977.509,131505.7046,128005.7819,58179.5128,71185.65564
St. Martin (French part),MAF,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,,,,,,,,
Morocco,MAR,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,7149.036133,7669.945313,7693.057129,7921.619141,8264.929688,8564.418945,7959.256348,8852.914063
Monaco,MCO,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,195780.006892569,170337.924412652,174610.636971733,173612.864622391,194280.82214105,199377.481831603,182538.638340211,234315.460503547
Moldova,MDA,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,8824.382367,9250.123271,10606.63211,11651.18635,12663.23105,13580.11657,12870.01602,15390.46583
Madagascar,MDG,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,1515.5983,1508.442706,1568.389357,1548.156425,1594.527151,1652.385832,1514.861688,1607.935225
